stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_2309_345906,388-06,"Bronowice SKA","06",50.080823055,19.890658611,,,0,,,
stop_2309_345907,388-07,"Bronowice SKA","07",50.081535000,19.890548333,,,0,,,
stop_14_1901,396-01,"Bronowice Wielkie","01",50.105209444,19.880874166,,,0,,,
stop_14_1902,396-02,"Bronowice Wielkie","02",50.106031944,19.880098055,,,0,,,
stop_64_8904,357-04,"Bronowice","04",50.077030555,19.902635000,,,0,,,
stop_64_8905,357-05,"Bronowice","05",50.077903333,19.900878888,,,0,,,
stop_544_76501,538-01,"Brücknera","01",50.012505000,19.875941388,,,0,,,
stop_544_76502,538-02,"Brücknera","02",50.011930277,19.875791111,,,0,,,
stop_2439_351001,2620-01,"Brzegi Dom Kultury","01",50.036437777,20.100694166,,,0,,,
stop_2439_351002,2620-02,"Brzegi Dom Kultury","02",50.036673888,20.101179444,,,0,,,
stop_2440_351101,2796-01,"Brzegi Granica","01",50.037176666,20.105776111,,,0,,,
stop_2440_351102,2796-02,"Brzegi Granica","02",50.037184166,20.106511666,,,0,,,
stop_2438_350901,2202-01,"Brzegi Grobla","01",50.033178333,20.094411388,,,0,,,
stop_2438_350902,2202-02,"Brzegi Grobla","02",50.033433611,20.093693333,,,0,,,
stop_2079_331101,2203-01,"Brzegi Pętla","01",50.031444444,20.094990000,,,0,,,
stop_2110_334001,2471-01,"Brzegi Użytek Ekologiczny","01",50.035700277,20.087573888,,,0,,,
stop_2110_334002,2471-02,"Brzegi Użytek Ekologiczny","02",50.034868333,20.087424166,,,0,,,
stop_708_101601,2267-01,"Brzezie Działki","01",50.116563055,19.828989722,,,0,,,
stop_708_101602,2267-02,"Brzezie Działki","02",50.116754166,19.828790555,,,0,,,
stop_1864_320901,2264-01,"Brzezie Kluczwody","01",50.129236666,19.821835277,,,0,,,
stop_1864_320902,2264-02,"Brzezie Kluczwody","02",50.128189166,19.821784722,,,0,,,
stop_1864_320981,2264-81,"Brzezie Kluczwody","81",50.129303055,19.821800833,,,0,,,
stop_1864_320982,2264-82,"Brzezie Kluczwody","82",50.128172222,19.821819722,,,0,,,
stop_1371_304901,2222-01,"Brzezie Kościół","01",50.132426388,19.821678333,,,0,,,
stop_1371_304902,2222-02,"Brzezie Kościół","02",50.132233611,19.821593333,,,0,,,
stop_1371_304981,2222-81,"Brzezie Kościół","81",50.132455000,19.821639444,,,0,,,
stop_1371_304982,2222-82,"Brzezie Kościół","82",50.132195277,19.821634722,,,0,,,
stop_736_104801,2263-01,"Brzezie Kulka","01",50.124841111,19.815266111,,,0,,,
stop_736_104802,2263-02,"Brzezie Kulka","02",50.125033888,19.814425833,,,0,,,
stop_713_102101,2268-01,"Brzezie Narodowe","01",50.122124166,19.821656111,,,0,,,
stop_713_102102,2268-02,"Brzezie Narodowe","02",50.121948055,19.822343333,,,0,,,
stop_713_102103,2268-03,"Brzezie Narodowe","03",50.124333611,19.821657777,,,0,,,
stop_713_102104,2268-04,"Brzezie Narodowe","04",50.122836666,19.821134444,,,0,,,
stop_2206_341701,2345-01,"Brzezinka Kościół","01",50.137895000,19.738636111,,,0,,,
stop_2206_341702,2345-02,"Brzezinka Kościół","02",50.137714166,19.738781388,,,0,,,
stop_2099_332901,2423-01,"Brzezinka Kuźnia","01",49.962834166,19.649572777,,,0,,,
stop_2099_332902,2423-02,"Brzezinka Kuźnia","02",49.963110555,19.648595833,,,0,,,
stop_719_102901,2346-01,"Brzezinka Skrzyżowanie","01",50.135246111,19.739686944,,,0,,,
stop_719_102902,2346-02,"Brzezinka Skrzyżowanie","02",50.135576388,19.739683055,,,0,,,
stop_717_102701,2344-01,"Brzezinka Zarzecze","01",50.138229166,19.747830277,,,0,,,
stop_717_102702,2344-02,"Brzezinka Zarzecze","02",50.138185833,19.748066388,,,0,,,
stop_2098_332801,2425-01,"Brzeźnica Dworzec","01",49.967182777,19.628235833,,,0,,,
stop_780_110801,2424-01,"Brzeźnica Pasieka","01",49.964664166,19.639410555,,,0,,,
stop_780_110802,2424-02,"Brzeźnica Pasieka","02",49.964880833,19.638468333,,,0,,,
stop_1137_269501,2681-01,"Brzoskwinia Góra","01",50.093341944,19.729596666,,,0,,,
