stop_name,stop_lat,stop_lon
Gnieźnieńska,50.0834825,19.906260277
Godlewskiego,50.082352499500004,19.8534927775
Golkowice Granica,49.973679722,19.994827222
Golkowice Kościół,49.972624305,19.9797473605
Golkowice Pętla,49.973823611,19.966992916
Golkowice Sklep,49.9729791665,19.988067360499997
Gospodarska,50.1080438885,19.902869582500003
Goszcza Cmentarz,50.1821615275,20.0683724995
Goszcza Dworek,50.186880277499995,20.069809444
Goszcza Kościół,50.1849812495,20.073623472
Goszyce Pod Lasem,50.1710641665,20.124958749500003
Goszyce Remiza,50.178764027,20.132158333
Gotkowice Wieś,50.224375694,19.736684722
Gołuchowice Sklep,49.9406511105,19.7716338885
Gołuchowice Skrzyżowanie,49.94355629566667,19.778122221666667
Grabie Dom Kultury,50.040431944,20.133885833
Grabie Kościół,50.04081342566667,20.139297962666667
Grabie Kuźnia,49.9278561105,19.739956388499998
Grabie Pętla,49.926464444,19.735698055
Grabie Szczurów,50.0386974995,20.1118586105
Grabowa,50.069709722,19.859100416
Grabówki Pętla,49.9736173605,20.0005926385
Gromadzka,50.0406616665,19.976971110999997
Grota-Roweckiego,50.031513980999996,19.920410277333332
Grzegorza z Sanoka,50.098300416,20.0925877775
Grębałów,50.097296944,20.073153611
Grębynice Mogiełki,50.174064027499995,19.8637201385
Grębynice Parkowa,50.1678049995,19.8676566665
Grębynice Remiza,50.1661787495,19.872494860499998
Góra Borkowska,50.007135694,19.92501152725
Górka Narodowa P+R,50.105233610666666,19.96437037
Górka Pychowicka,50.033943055,19.875729722
Górna Wieś Pętla,50.162461388,19.936055833
Górnickiego,50.0961709715,19.941609444
Głowackiego,50.0756302775,19.906287638499997
Głęboka Kolonia,50.132183888499995,20.144505833
Głęboka Staw,50.133174027500004,20.149240415999998
Głęboka Zakręt,50.128606805000004,20.154056666499997
Hala Sportowa Piaski Wielkie,50.002719444,19.9862495825
Hala Targowa,50.0586741665,19.948954305
Hallera,50.003534443999996,19.9944138885
Halszki,50.005651111,19.94873074
Hektary,50.109621111,20.175496944000002
Husarska,50.044133055,20.065933194
Igołomska Zakłady,50.0743043055,20.132944583
Imbramowska,50.087913055,19.9477855555
Instytut Reumatologii,50.057725833,19.913982083
Iwanowice Dworskie Kotryska,50.213978055,19.956347777
Iwanowice Dworskie Pętla,50.2205325,19.979605277
Jabłonna,50.091763472,19.956339444
Jana Kazimierza,50.095014722,20.0471516665
Janasówka,49.999771944,19.817665277
Januszowice Młyńska,50.149524444,19.893009722000002
Januszowice Plac Zabaw,50.151288611,19.891845555499998
Janówka,50.0795462495,20.1603638885
Jasnogórska,50.0986140275,19.8902136105
Jaśkowice PKP,49.960705972,19.674303055000003
Jaśkowice Remiza,49.9600579165,19.666414305
Jerzmanowice Centralna,50.2178811105,19.757489166
Jerzmanowice Lepianka,50.208811804999996,19.773414582500003
Jerzmanowice Ojcowska,50.2214876385,19.749183194
Jerzmanowice Pod Lasem,50.2020012495,19.7845315275
Jerzmanowskiego,50.010173610500004,20.008634722
Jeziorzany Górskie Domy,49.981600694,19.766701666
Jeziorzany Pętla,49.986976111000004,19.7783701385
Jeziorzany Rondo,49.993739444,19.776363981
Jordanowska,50.095214722,19.9147263885
Jubilat,50.05576993,19.92723805525
Jubileuszowa,50.101224443999996,20.0693351385
Judyma,50.001972869666666,19.921871666333335
Judyma Szkoła,50.001051666500004,19.9168461105
Jugowicka,50.007485,19.930497221499998
Jurczyce Dom Ludowy,49.9385027775,19.780755833
Jurczyce Podole,49.9387276385,19.7908788885
Jurczyce Szkoła,49.938695833,19.786234860500002
Jędrzejczyka,50.0147499995,20.0420265275
Kabel,50.027451944,19.976099444
Kamień Remiza,50.008954999500006,19.583855416
Kamień Szkoła,50.014953055,19.586690833
Kamieńskiego,50.0289490275,19.957227083
Kamieńskiego Wiadukt,50.031532083,19.948776805
Kampus UJ,50.0242479165,19.902024722
Kampus UP JP II,50.020480694,19.898099999499998
Kantorowice,50.10434018499999,20.061726480999997
